Count,Number of items in equivalence class,Isoforms In equivalence Class
227060,0,NA
50641,2,"ENST00000329251,ENST00000496634"
12555,1,ENST00000536684
10561,1,ENST00000393067
10087,7,"ENST00000540430,ENST00000396222,ENST00000422447,ENST00000545215,ENST00000430553,ENST00000227157,ENST00000379412"
8887,7,"ENST00000532601,ENST00000534180,ENST00000526640,ENST00000532829,ENST00000449131,ENST00000273550,ENST00000620041"
8588,5,"ENST00000674194,ENST00000534668,ENST00000532073,ENST00000389939,ENST00000345732"
8207,3,"ENST00000530398,ENST00000321153,ENST00000530797"
8152,2,"ENST00000321153,ENST00000530797"
7617,2,"ENST00000525634,ENST00000228140"
7198,2,"ENST00000527673,ENST00000532567"
6441,4,"ENST00000532829,ENST00000273550,ENST00000620041,ENST00000530019"
6035,8,"ENST00000532636,ENST00000524552,ENST00000227378,ENST00000526686,ENST00000533540,ENST00000526110,ENST00000534319,ENST00000534624"
6024,1,ENST00000260197
5909,3,"ENST00000527791,ENST00000532567,ENST00000527673"
5341,6,"ENST00000532601,ENST00000534180,ENST00000526640,ENST00000532829,ENST00000273550,ENST00000620041"
5004,1,ENST00000527673
4985,6,"ENST00000532601,ENST00000529548,ENST00000526640,ENST00000534180,ENST00000273550,ENST00000620041"
4903,11,"ENST00000430553,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000486690,ENST00000543695,ENST00000540430,ENST00000545215,ENST00000536528,ENST00000542179,ENST00000396222"
4473,7,"ENST00000524496,ENST00000531978,ENST00000526562,ENST00000530913,ENST00000530022,ENST00000314138,ENST00000534599"
4377,4,"ENST00000525681,ENST00000339995,ENST00000526148,ENST00000396525"
4352,13,"ENST00000524851,ENST00000525933,ENST00000531188,ENST00000525690,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000526248,ENST00000422465,ENST00000534440,ENST00000530721,ENST00000278572,ENST00000530170"
4322,1,ENST00000525634
4309,6,"ENST00000674194,ENST00000532073,ENST00000528313,ENST00000389939,ENST00000534668,ENST00000345732"
4301,8,"ENST00000453788,ENST00000532636,ENST00000227378,ENST00000528292,ENST00000533540,ENST00000526110,ENST00000534319,ENST00000534624"
4298,1,ENST00000379965
4159,1,ENST00000308595
4075,10,"ENST00000524851,ENST00000525933,ENST00000531188,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000526248,ENST00000422465,ENST00000530721,ENST00000278572"
4035,7,"ENST00000541097,ENST00000540430,ENST00000422447,ENST00000542179,ENST00000430553,ENST00000545215,ENST00000379412"
3852,2,"ENST00000308162,ENST00000525451"
3527,5,"ENST00000405957,ENST00000311604,ENST00000406638,ENST00000612798,ENST00000381775"
3355,5,"ENST00000524496,ENST00000531978,ENST00000530022,ENST00000314138,ENST00000534599"
3276,1,ENST00000378024
3274,2,"ENST00000428726,ENST00000263398"
3209,11,"ENST00000532134,ENST00000530413,ENST00000534784,ENST00000524553,ENST00000531407,ENST00000526975,ENST00000527344,ENST00000308162,ENST00000525451,ENST00000531413,ENST00000534769"
3203,9,"ENST00000532601,ENST00000529548,ENST00000449131,ENST00000620041,ENST00000530019,ENST00000526640,ENST00000532829,ENST00000273550,ENST00000534180"
3179,7,"ENST00000453788,ENST00000528292,ENST00000532636,ENST00000526110,ENST00000227378,ENST00000534319,ENST00000534624"
3143,1,ENST00000278412
3111,7,"ENST00000524496,ENST00000532359,ENST00000530913,ENST00000530022,ENST00000526562,ENST00000314138,ENST00000534599"
3030,13,"ENST00000543445,ENST00000539814,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000478970,ENST00000535451,ENST00000541097,ENST00000495052,ENST00000540430,ENST00000430553,ENST00000542179,ENST00000396222"
2939,5,"ENST00000531407,ENST00000527344,ENST00000308162,ENST00000525451,ENST00000524553"
2936,4,"ENST00000528954,ENST00000395074,ENST00000530561,ENST00000528489"
2897,8,"ENST00000453788,ENST00000532636,ENST00000524552,ENST00000227378,ENST00000533540,ENST00000526110,ENST00000534319,ENST00000534624"
2838,7,"ENST00000527548,ENST00000526555,ENST00000529639,ENST00000531743,ENST00000279259,ENST00000434372,ENST00000529259"
2790,2,"ENST00000532259,ENST00000332118"
2785,2,"ENST00000540430,ENST00000379412"
2785,2,"ENST00000301785,ENST00000403734"
2760,1,ENST00000299413
2738,3,"ENST00000527525,ENST00000534313,ENST00000394224"
2721,2,"ENST00000620157,ENST00000534980"
2702,7,"ENST00000532829,ENST00000534180,ENST00000530019,ENST00000529191,ENST00000273550,ENST00000620041,ENST00000529631"
2700,11,"ENST00000524851,ENST00000525933,ENST00000531188,ENST00000525690,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000526248,ENST00000422465,ENST00000530721,ENST00000278572"
2682,1,ENST00000321153
2682,5,"ENST00000540430,ENST00000396222,ENST00000422447,ENST00000227157,ENST00000379412"
2665,13,"ENST00000681188,ENST00000680075,ENST00000680357,ENST00000680602,ENST00000679588,ENST00000681935,ENST00000535283,ENST00000681803,ENST00000680717,ENST00000679712,ENST00000540166,ENST00000301764,ENST00000680367"
2641,3,"ENST00000646888,ENST00000398606,ENST00000498765"
2567,8,"ENST00000531572,ENST00000678993,ENST00000533626,ENST00000678132,ENST00000651655,ENST00000531329,ENST00000677121,ENST00000640290"
2520,2,"ENST00000398136,ENST00000361236"
2486,9,"ENST00000532134,ENST00000530413,ENST00000524553,ENST00000531407,ENST00000527344,ENST00000308162,ENST00000525451,ENST00000531413,ENST00000534769"
2468,5,"ENST00000341394,ENST00000532820,ENST00000389645,ENST00000530820,ENST00000529307"
2442,3,"ENST00000341356,ENST00000326294,ENST00000616321"
2433,3,"ENST00000359393,ENST00000320631,ENST00000621096"
2424,1,ENST00000530022
2393,13,"ENST00000524851,ENST00000531188,ENST00000527273,ENST00000528847,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000528439,ENST00000526248,ENST00000278572,ENST00000534440,ENST00000530164,ENST00000530170"
2383,2,"ENST00000308595,ENST00000526285"
2363,1,ENST00000314133
2349,5,"ENST00000260197,ENST00000532694,ENST00000527934,ENST00000534286,ENST00000525532"
2339,6,"ENST00000453788,ENST00000533540,ENST00000532636,ENST00000227378,ENST00000534319,ENST00000534624"
2337,13,"ENST00000680938,ENST00000399815,ENST00000679765,ENST00000328221,ENST00000679380,ENST00000681577,ENST00000680696,ENST00000408968,ENST00000680588,ENST00000528780,ENST00000681938,ENST00000681426,ENST00000681180"
2330,3,"ENST00000495052,ENST00000379412,ENST00000540430"
2316,7,"ENST00000540430,ENST00000422447,ENST00000545215,ENST00000542179,ENST00000430553,ENST00000227157,ENST00000379412"
2293,6,"ENST00000356638,ENST00000534779,ENST00000540933,ENST00000346178,ENST00000532402,ENST00000648273"
2238,3,"ENST00000354558,ENST00000312055,ENST00000529230"
2229,5,"ENST00000533129,ENST00000524773,ENST00000279247,ENST00000527323,ENST00000533820"
2215,9,"ENST00000524851,ENST00000531188,ENST00000528847,ENST00000526248,ENST00000527446,ENST00000422465,ENST00000530721,ENST00000530164,ENST00000530170"
2192,3,"ENST00000527204,ENST00000524902,ENST00000278823"
2126,2,"ENST00000227155,ENST00000524750"
2104,2,"ENST00000278840,ENST00000257261"
2095,3,"ENST00000398606,ENST00000398603,ENST00000498765"
2094,7,"ENST00000533540,ENST00000532636,ENST00000524552,ENST00000526110,ENST00000227378,ENST00000534319,ENST00000534624"
2079,1,ENST00000301785
2068,2,"ENST00000322535,ENST00000528302"
2044,7,"ENST00000453788,ENST00000533540,ENST00000532636,ENST00000526110,ENST00000227378,ENST00000534319,ENST00000534624"
2039,3,"ENST00000322535,ENST00000528302,ENST00000530981"
2031,2,"ENST00000287156,ENST00000340573"
2029,1,ENST00000379719
2010,1,ENST00000311481
2008,2,"ENST00000531159,ENST00000257829"
1994,1,ENST00000227155
1964,1,ENST00000300146
1959,9,"ENST00000524851,ENST00000531188,ENST00000527273,ENST00000528847,ENST00000527446,ENST00000526608,ENST00000422465,ENST00000530721,ENST00000278572"
1954,1,ENST00000228136
1937,6,"ENST00000540430,ENST00000422447,ENST00000545215,ENST00000430553,ENST00000542179,ENST00000379412"
1919,5,"ENST00000312989,ENST00000358239,ENST00000679175,ENST00000527663,ENST00000376745"
1914,1,ENST00000620041
1908,5,"ENST00000339995,ENST00000526148,ENST00000528839,ENST00000525681,ENST00000396525"
1901,4,"ENST00000396394,ENST00000555531,ENST00000530457,ENST00000418988"
1855,4,"ENST00000351018,ENST00000396979,ENST00000533217,ENST00000396978"
1811,8,"ENST00000532359,ENST00000530913,ENST00000530022,ENST00000314138,ENST00000534599,ENST00000525981,ENST00000524496,ENST00000526562"
1804,1,ENST00000531978
1786,2,"ENST00000524851,ENST00000525933"
1782,2,"ENST00000535549,ENST00000392668"
1781,2,"ENST00000249923,ENST00000439561"
1770,2,"ENST00000278590,ENST00000453089"
1750,10,"ENST00000543445,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000478970,ENST00000545215,ENST00000396222"
1744,3,"ENST00000263464,ENST00000673846,ENST00000526421"
1743,7,"ENST00000531407,ENST00000527344,ENST00000531413,ENST00000308162,ENST00000525451,ENST00000524553,ENST00000534769"
1714,6,"ENST00000540430,ENST00000422447,ENST00000545215,ENST00000430553,ENST00000227157,ENST00000379412"
1700,3,"ENST00000358794,ENST00000305218,ENST00000538945"
1684,8,"ENST00000406638,ENST00000457279,ENST00000612798,ENST00000405957,ENST00000432093,ENST00000417766,ENST00000311604,ENST00000381775"
1679,3,"ENST00000535549,ENST00000526145,ENST00000392668"
1565,1,ENST00000263773
1561,4,"ENST00000531491,ENST00000649491,ENST00000529196,ENST00000392708"
1545,1,ENST00000361367
1544,1,ENST00000524496
1536,13,"ENST00000453788,ENST00000532636,ENST00000525624,ENST00000534624,ENST00000227378,ENST00000530391,ENST00000532182,ENST00000533540,ENST00000528292,ENST00000534567,ENST00000526110,ENST00000524590,ENST00000527387"
1532,1,ENST00000312397
1522,2,"ENST00000530167,ENST00000375167"
1514,1,ENST00000316059
1504,3,"ENST00000310473,ENST00000536983,ENST00000663595"
1500,6,"ENST00000674194,ENST00000533306,ENST00000532073,ENST00000389939,ENST00000534668,ENST00000345732"
1499,1,ENST00000341394
1495,4,"ENST00000527548,ENST00000529639,ENST00000531743,ENST00000526555"
1487,2,"ENST00000398427,ENST00000328257"
1458,1,ENST00000329251
1453,3,"ENST00000359415,ENST00000264028,ENST00000534182"
1441,1,ENST00000320580
1435,5,"ENST00000339995,ENST00000526148,ENST00000531180,ENST00000525681,ENST00000396525"
1434,6,"ENST00000524496,ENST00000526562,ENST00000530913,ENST00000530022,ENST00000314138,ENST00000534599"
1425,26,"ENST00000681761,ENST00000680938,ENST00000680310,ENST00000679765,ENST00000328221,ENST00000679380,ENST00000679353,ENST00000680870,ENST00000679982,ENST00000680699,ENST00000681350,ENST00000680696,ENST00000528780,ENST00000681702,ENST00000681180,ENST00000680299,ENST00000680855,ENST00000681111,ENST00000680802,ENST00000680342,ENST00000681821,ENST00000681577,ENST00000408968,ENST00000680588,ENST00000681938,ENST00000681426"
1418,2,"ENST00000345728,ENST00000279227"
1414,2,"ENST00000447399,ENST00000318950"
1414,1,ENST00000356786
1406,10,"ENST00000524851,ENST00000525933,ENST00000531188,ENST00000528847,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000422465,ENST00000530721,ENST00000278572"
1400,2,"ENST00000311481,ENST00000527397"
1371,2,"ENST00000341394,ENST00000532820"
1355,3,"ENST00000345728,ENST00000279227,ENST00000545896"
1355,1,ENST00000312579
1353,12,"ENST00000453788,ENST00000532636,ENST00000525624,ENST00000534624,ENST00000227378,ENST00000530391,ENST00000532182,ENST00000528292,ENST00000534567,ENST00000526110,ENST00000524590,ENST00000527387"
1343,21,"ENST00000681761,ENST00000680938,ENST00000680310,ENST00000679765,ENST00000328221,ENST00000679380,ENST00000679353,ENST00000680870,ENST00000679982,ENST00000680699,ENST00000680696,ENST00000681702,ENST00000680299,ENST00000681180,ENST00000680802,ENST00000680342,ENST00000681577,ENST00000408968,ENST00000680588,ENST00000681938,ENST00000681426"
1342,5,"ENST00000416188,ENST00000264555,ENST00000533464,ENST00000413872,ENST00000534320"
1329,2,"ENST00000227525,ENST00000536171"
1326,3,"ENST00000392859,ENST00000359415,ENST00000264028"
1323,5,"ENST00000527548,ENST00000526555,ENST00000529639,ENST00000525297,ENST00000531743"
1322,9,"ENST00000543445,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000495052,ENST00000540430,ENST00000478970,ENST00000542179,ENST00000396222"
1306,2,"ENST00000319006,ENST00000528097"
1305,2,"ENST00000531273,ENST00000378852"
1298,2,"ENST00000524496,ENST00000534599"
1275,1,ENST00000263847
1267,2,"ENST00000278412,ENST00000635721"
1264,10,"ENST00000543445,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000486690,ENST00000543695,ENST00000540430,ENST00000545215,ENST00000542179,ENST00000396222"
1253,1,ENST00000350997
1242,4,"ENST00000527348,ENST00000445560,ENST00000312175,ENST00000533166"
1237,4,"ENST00000526060,ENST00000377190,ENST00000294256,ENST00000307289"
1221,5,"ENST00000300738,ENST00000533349,ENST00000533495,ENST00000534285,ENST00000532170"
1217,10,"ENST00000453788,ENST00000532636,ENST00000525624,ENST00000227378,ENST00000525463,ENST00000532182,ENST00000528292,ENST00000534567,ENST00000534624,ENST00000527387"
1214,9,"ENST00000525445,ENST00000528413,ENST00000397570,ENST00000397566,ENST00000532326,ENST00000330243,ENST00000533182,ENST00000348655,ENST00000469048"
1206,1,ENST00000532872
1196,1,ENST00000227451
1192,2,"ENST00000426086,ENST00000309422"
1175,2,"ENST00000532635,ENST00000265686"
1174,5,"ENST00000531416,ENST00000339995,ENST00000526148,ENST00000525681,ENST00000396525"
1167,2,"ENST00000531398,ENST00000393067"
1164,3,"ENST00000687097,ENST00000310513,ENST00000395290"
1160,8,"ENST00000532134,ENST00000524553,ENST00000531407,ENST00000527344,ENST00000308162,ENST00000525451,ENST00000531413,ENST00000534769"
1158,3,"ENST00000646888,ENST00000398606,ENST00000398603"
1155,5,"ENST00000452508,ENST00000675595,ENST00000527805,ENST00000278616,ENST00000675843"
1149,3,"ENST00000525634,ENST00000533969,ENST00000228140"
1133,2,"ENST00000531572,ENST00000640290"
1131,1,ENST00000309318
1131,6,"ENST00000263464,ENST00000532808,ENST00000673846,ENST00000526421,ENST00000527309,ENST00000615299"
1127,1,ENST00000355703
1124,1,ENST00000279839
1117,5,"ENST00000319397,ENST00000526145,ENST00000535549,ENST00000531611,ENST00000392668"
1116,1,ENST00000227471
1112,2,"ENST00000544551,ENST00000645495"
1108,2,"ENST00000227155,ENST00000342935"
1108,8,"ENST00000377394,ENST00000227503,ENST00000334944,ENST00000433274,ENST00000681407,ENST00000448404,ENST00000377390,ENST00000377387"
1103,8,"ENST00000530473,ENST00000621959,ENST00000612687,ENST00000543287,ENST00000532519,ENST00000614711,ENST00000652093,ENST00000617285"
1102,7,"ENST00000377394,ENST00000227503,ENST00000334944,ENST00000681407,ENST00000448404,ENST00000377390,ENST00000377387"
1098,10,"ENST00000406638,ENST00000457279,ENST00000429923,ENST00000612798,ENST00000405957,ENST00000432093,ENST00000417766,ENST00000311604,ENST00000446808,ENST00000381775"
1094,1,ENST00000288937
1093,1,ENST00000305885
1089,1,ENST00000278353
1078,4,"ENST00000527548,ENST00000529639,ENST00000525297,ENST00000531743"
1076,2,"ENST00000351018,ENST00000396979"
1071,9,"ENST00000422447,ENST00000227157,ENST00000379412,ENST00000486690,ENST00000543695,ENST00000540430,ENST00000545215,ENST00000542179,ENST00000396222"
1069,10,"ENST00000524851,ENST00000531188,ENST00000528847,ENST00000526248,ENST00000527446,ENST00000422465,ENST00000530721,ENST00000534440,ENST00000530164,ENST00000530170"
1065,4,"ENST00000541252,ENST00000345728,ENST00000279227,ENST00000544997"
1058,1,ENST00000227524
1056,1,ENST00000527958
1046,3,"ENST00000534234,ENST00000249923,ENST00000439561"
1044,3,"ENST00000620157,ENST00000526070,ENST00000534980"
1043,10,"ENST00000536528,ENST00000422447,ENST00000227157,ENST00000379412,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000430553,ENST00000545215,ENST00000396222"
1042,4,"ENST00000408968,ENST00000680588,ENST00000328221,ENST00000528780"
1041,2,"ENST00000325147,ENST00000382762"
1036,2,"ENST00000298229,ENST00000538751"
1035,5,"ENST00000263464,ENST00000532808,ENST00000673846,ENST00000526421,ENST00000615299"
1032,1,ENST00000265462
1030,8,"ENST00000532601,ENST00000529548,ENST00000449131,ENST00000620041,ENST00000526640,ENST00000532829,ENST00000273550,ENST00000534180"
1029,4,"ENST00000379965,ENST00000425490,ENST00000454828,ENST00000414641"
1022,1,ENST00000302503
1021,1,ENST00000398868
1020,1,ENST00000430553
1007,3,"ENST00000389939,ENST00000534668,ENST00000345732"
1004,3,"ENST00000525681,ENST00000339995,ENST00000526148"
994,8,"ENST00000453788,ENST00000532636,ENST00000227378,ENST00000525463,ENST00000528292,ENST00000526110,ENST00000534319,ENST00000534624"
993,2,"ENST00000398606,ENST00000398603"
991,2,"ENST00000308774,ENST00000544844"
984,7,"ENST00000531416,ENST00000532082,ENST00000339995,ENST00000526148,ENST00000525681,ENST00000396525,ENST00000524932"
981,1,ENST00000310137
980,3,"ENST00000340437,ENST00000439958,ENST00000394888"
976,2,"ENST00000252108,ENST00000431736"
968,4,"ENST00000541961,ENST00000531863,ENST00000530165,ENST00000532677"
963,2,"ENST00000531120,ENST00000524896"
961,1,ENST00000526562
959,15,"ENST00000643439,ENST00000533371,ENST00000647152,ENST00000642892,ENST00000299427,ENST00000644810,ENST00000644218,ENST00000682424,ENST00000643516,ENST00000644683,ENST00000644933,ENST00000645620,ENST00000647209,ENST00000645285,ENST00000643342"
941,1,ENST00000264033
936,2,"ENST00000302503,ENST00000530428"
929,13,"ENST00000418975,ENST00000406638,ENST00000457279,ENST00000429923,ENST00000612798,ENST00000405957,ENST00000432093,ENST00000417766,ENST00000451814,ENST00000311604,ENST00000446808,ENST00000421485,ENST00000381775"
922,1,ENST00000263672
921,4,"ENST00000652093,ENST00000612687,ENST00000617285,ENST00000621959"
915,1,ENST00000332118
903,1,ENST00000354193
903,1,ENST00000054950
896,2,"ENST00000278849,ENST00000394818"
892,7,"ENST00000524851,ENST00000531188,ENST00000530721,ENST00000278572,ENST00000528847,ENST00000527446,ENST00000422465"
890,12,"ENST00000681188,ENST00000680075,ENST00000680357,ENST00000680602,ENST00000679588,ENST00000681935,ENST00000535283,ENST00000681803,ENST00000680717,ENST00000679712,ENST00000301764,ENST00000680367"
887,2,"ENST00000620138,ENST00000380542"
887,5,"ENST00000356638,ENST00000540933,ENST00000346178,ENST00000532402,ENST00000648273"
885,1,ENST00000278505
879,7,"ENST00000351960,ENST00000613205,ENST00000620566,ENST00000393695,ENST00000545721,ENST00000541584,ENST00000358965"
875,6,"ENST00000281428,ENST00000534087,ENST00000344954,ENST00000527786,ENST00000608303,ENST00000429175"
872,1,ENST00000336349
869,3,"ENST00000396394,ENST00000530457,ENST00000418988"
863,15,"ENST00000527629,ENST00000528737,ENST00000682018,ENST00000684135,ENST00000420244,ENST00000533703,ENST00000676340,ENST00000675163,ENST00000676459,ENST00000361723,ENST00000674617,ENST00000529985,ENST00000531408,ENST00000531147,ENST00000675806"
861,12,"ENST00000524851,ENST00000531188,ENST00000528847,ENST00000532872,ENST00000527446,ENST00000526608,ENST00000528439,ENST00000526248,ENST00000534440,ENST00000278572,ENST00000530164,ENST00000530170"
858,3,"ENST00000445560,ENST00000312175,ENST00000533166"
857,3,"ENST00000347941,ENST00000265462,ENST00000352435"
852,3,"ENST00000300688,ENST00000529790,ENST00000689460"
850,3,"ENST00000526696,ENST00000529002,ENST00000278412"
849,1,ENST00000311956
